\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2025-04-07 08:00:44,,,,,,,,,,,,,,
\\For 2025,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2025-01-14,23,18317,673,1566,1113,1128,6565,1325,111,3648,601,1869,18600,283
2025-01-14,24,17449,658,1541,1051,1077,6184,1244,111,3436,567,1832,17702,253
2025-01-15,1,16681,647,1514,996,1071,5868,1193,110,3332,540,1825,17098,416
2025-01-15,2,16229,642,1507,972,1038,5646,1163,110,3234,542,1820,16674,445
2025-01-15,3,16121,639,1499,961,1021,5507,1145,111,3181,537,1925,16525,404
2025-01-15,4,16081,636,1448,958,1046,5442,1140,113,3112,564,2003,16461,381
2025-01-15,5,16206,624,1427,980,1052,5466,1164,114,3154,572,2062,16616,410
2025-01-15,6,16844,618,1448,1034,1136,5660,1209,114,3248,563,2145,17175,331
2025-01-15,7,18194,632,1493,1131,1247,6104,1316,113,3475,633,2309,18452,258
2025-01-15,8,19926,662,1559,1224,1347,6621,1427,116,3749,663,2481,19850,-76
2025-01-15,9,20064,680,1583,1234,1340,6789,1450,119,3833,678,2506,20212,148
2025-01-15,10,20087,683,1560,1223,1259,6913,1442,120,3819,682,2463,20166,79
2025-01-15,11,20048,685,1539,1181,1132,7020,1427,121,3835,703,2355,19998,-51
2025-01-15,12,19755,630,1536,1162,1018,7083,1390,121,3905,697,2195,19735,-19
2025-01-15,13,19275,617,1506,1131,978,7052,1369,118,3894,672,2172,19509,234
2025-01-15,14,19228,616,1483,1110,1014,7033,1361,119,3864,660,2238,19499,271
2025-01-15,15,19297,616,1472,1116,1074,7042,1362,113,3856,687,2192,19532,235
2025-01-15,16,19616,603,1486,1157,1186,7091,1381,115,3811,692,2259,19780,164
2025-01-15,17,20249,601,1506,1232,1314,7188,1442,119,3917,690,2382,20390,141
2025-01-15,18,20834,606,1524,1344,1366,7382,1520,122,4085,716,2325,20990,156
2025-01-15,19,20638,597,1509,1321,1393,7336,1514,121,4063,718,2215,20787,150
2025-01-15,20,20237,589,1529,1294,1407,7273,1499,116,4020,698,2113,20539,302
2025-01-15,21,19840,578,1555,1258,1374,7163,1473,111,3945,677,2006,20140,300
2025-01-15,22,19175,575,1524,1204,1323,6929,1402,106,3828,647,1931,19470,295
2025-01-15,23,18066,563,1493,1132,1209,6495,1303,103,3608,610,1806,18321,255
2025-01-15,24,16986,546,1462,1041,1121,6112,1212,100,3382,585,1751,17313,327
2025-01-16,1,16303,529,1422,992,1063,5808,1153,98,3253,592,1737,16647,344
2025-01-16,2,15969,519,1425,965,1084,5583,1115,98,3157,621,1739,16307,339
2025-01-16,3,15882,520,1405,950,1069,5500,1088,101,3088,616,1849,16185,302
2025-01-16,4,15906,525,1406,948,1109,5385,1078,105,3037,584,1933,16109,204
2025-01-16,5,16215,527,1412,980,1087,5456,1103,106,3057,572,2007,16307,92
2025-01-16,6,16723,554,1389,1041,1118,5646,1145,108,3130,550,2083,16764,41
2025-01-16,7,17873,568,1413,1139,1230,6049,1248,111,3394,590,2223,17965,92
2025-01-16,8,19385,584,1493,1232,1320,6622,1354,120,3697,674,2369,19464,79
2025-01-16,9,19728,608,1492,1228,1328,6842,1389,124,3785,681,2412,19889,161
2025-01-16,10,19987,621,1513,1242,1319,6979,1400,122,3847,696,2422,20162,175
2025-01-16,11,20212,598,1483,1248,1302,7032,1388,124,3809,708,2437,20129,-83
2025-01-16,12,19960,585,1432,1217,1260,7085,1371,125,3872,699,2441,20086,126
2025-01-16,13,19982,605,1456,1231,1236,7087,1364,126,3896,709,2407,20116,134
2025-01-16,14,19997,589,1472,1204,1238,7109,1347,121,3891,709,2406,20086,89
2025-01-16,15,20055,601,1507,1227,1266,7081,1330,120,3891,724,2399,20145,90
2025-01-16,16,20148,603,1511,1240,1277,7069,1351,119,3909,711,2412,20202,54
2025-01-16,17,20592,611,1528,1286,1337,7179,1420,125,3995,709,2444,20633,41
2025-01-16,18,21037,621,1541,1357,1410,7378,1508,123,4086,724,2355,21103,66
2025-01-16,19,20598,627,1491,1324,1370,7337,1495,118,4050,709,2240,20762,163
2025-01-16,20,20239,640,1555,1294,1375,7237,1477,107,3999,678,2135,20496,258
2025-01-16,21,19825,644,1565,1261,1319,7122,1440,102,3930,661,1985,20029,203
2025-01-16,22,19106,632,1542,1208,1235,6882,1365,103,3815,635,1889,19306,200
2025-01-16,23,17975,622,1472,1150,1172,6439,1270,98,3599,591,1773,18186,212
2025-01-16,24,16996,615,1407,1040,1076,6081,1173,96,3371,554,1731,17142,146
2025-01-17,1,16348,600,1384,1009,1046,5782,1109,96,3207,528,1711,16472,124
2025-01-17,2,15941,598,1376,973,1021,5517,1070,98,3075,512,1703,15945,4
2025-01-17,3,15744,589,1390,974,1023,5386,1039,104,3019,515,1831,15869,125
2025-01-17,4,15782,590,1373,969,1038,5315,1029,108,2978,509,1912,15822,40
2025-01-17,5,15913,593,1379,966,1046,5342,1043,111,3030,510,1967,15985,72
2025-01-17,6,16419,586,1364,1020,1066,5479,1088,114,3103,535,2056,16412,-7
2025-01-17,7,17386,586,1398,1094,1146,5875,1185,118,3323,573,2196,17495,109
2025-01-17,8,18702,588,1484,1183,1262,6366,1294,125,3573,624,2328,18825,123
2025-01-17,9,19236,608,1512,1204,1277,6576,1336,125,3674,643,2358,19312,76
2025-01-17,10,19245,611,1501,1219,1223,6736,1336,123,3629,655,2281,19313,69
2025-01-17,11,19117,614,1488,1199,1186,6852,1322,118,3577,653,2154,19163,46
2025-01-17,12,18654,616,1485,1166,1151,6832,1293,112,3528,636,1946,18764,110
2025-01-17,13,18199,612,1486,1125,1103,6755,1259,106,3514,611,1869,18440,242
2025-01-17,14,18119,565,1491,1114,1124,6705,1229,107,3503,609,1851,18300,182
2025-01-17,15,18140,560,1494,1137,1150,6566,1205,102,3497,610,1900,18222,81
2025-01-17,16,18340,571,1479,1169,1203,6614,1243,101,3497,607,2058,18541,201
2025-01-17,17,19009,589,1520,1232,1262,6691,1317,103,3577,626,2187,19103,94
2025-01-17,18,19632,628,1537,1279,1295,6913,1405,105,3724,648,2119,19655,23
2025-01-17,19,19137,639,1531,1232,1258,6808,1413,104,3695,636,2020,19336,198
2025-01-17,20,18757,673,1552,1204,1222,6688,1385,100,3609,620,1938,18992,235
2025-01-17,21,18438,695,1564,1168,1170,6592,1343,99,3510,615,1847,18602,165
2025-01-17,22,17961,681,1522,1121,1094,6412,1274,133,3407,591,1754,17989,28
2025-01-17,23,17016,663,1489,1055,1001,6072,1187,145,3200,560,1630,17003,-13
2025-01-17,24,16111,654,1454,980,935,5717,1102,139,2985,558,1569,16093,-18
2025-01-18,1,15371,650,1416,956,877,5422,1040,136,2840,533,1543,15413,42
2025-01-18,2,14903,645,1390,933,877,5189,991,124,2750,550,1543,14993,90
2025-01-18,3,14681,642,1383,899,839,5029,963,123,2669,546,1652,14745,64
2025-01-18,4,14524,644,1384,868,814,4930,945,126,2668,501,1724,14603,79
2025-01-18,5,14584,652,1380,871,822,4882,947,130,2683,480,1774,14621,37
2025-01-18,6,15011,658,1373,906,836,4941,969,132,2763,492,1830,14900,-111
2025-01-18,7,15586,673,1394,965,876,5078,1022,134,2852,526,1925,15446,-140
2025-01-18,8,16329,689,1422,1006,942,5289,1106,144,3024,547,2040,16209,-120
2025-01-18,9,16969,714,1476,1053,989,5576,1176,146,3169,581,2113,16993,24
2025-01-18,10,17578,720,1505,1080,1029,5830,1227,151,3274,599,2204,17618,40
2025-01-18,11,17976,716,1521,1139,1033,5937,1259,151,3368,617,2261,18005,29
2025-01-18,12,18111,690,1525,1158,1066,6176,1267,148,3400,618,2223,18271,159
2025-01-18,13,18227,670,1520,1192,1085,6310,1253,146,3358,634,2231,18399,172
2025-01-18,14,18271,659,1532,1177,1070,6403,1266,146,3363,635,2201,18451,180
2025-01-18,15,18363,660,1494,1179,1089,6374,1271,146,3363,637,2177,18391,28
2025-01-18,16,18283,688,1504,1179,1123,6386,1292,146,3362,636,2186,18501,218
2025-01-18,17,18603,710,1549,1200,1177,6453,1054,147,3416,650,2257,18614,11
2025-01-18,18,19178,738,1583,1240,1199,6694,1096,149,3571,660,2186,19115,-63
2025-01-18,19,19341,745,1587,1215,1183,6725,1235,149,3579,641,2095,19155,-185
2025-01-18,20,19057,745,1565,1193,1157,6614,1249,150,3498,622,2006,18800,-257
2025-01-18,21,18675,706,1542,1170,1122,6493,1551,148,3443,619,1897,18692,18
2025-01-18,22,18162,734,1535,1145,1083,6307,1528,143,3369,596,1832,18272,111
2025-01-18,23,17272,730,1526,1085,989,6006,1597,142,3297,570,1743,17684,412
2025-01-18,24,16423,717,1505,1059,950,5785,1159,144,3110,542,1731,16700,277
2025-01-19,1,16129,707,1490,1026,963,5520,1125,142,2990,538,1738,16240,111
2025-01-19,2,16001,704,1472,1002,958,5358,1129,143,2959,529,1738,15989,-12
2025-01-19,3,15950,700,1469,989,990,5205,1222,140,2864,523,1874,15977,27
2025-01-19,4,15803,696,1456,994,1000,5166,1146,143,2889,542,1944,15975,171
2025-01-19,5,15839,690,1453,988,1025,5140,1151,142,2840,570,1980,15979,140
2025-01-19,6,16010,691,1441,1015,1058,5163,1056,142,2879,586,2014,16044,34
2025-01-19,7,16194,669,1472,1066,1089,5262,663,147,2955,613,2099,16036,-158
2025-01-19,8,16972,680,1483,1072,1163,5484,697,158,3064,586,2191,16581,-391
2025-01-19,9,17738,693,1511,1116,1166,5723,819,161,3196,598,2254,17237,-501
2025-01-19,10,18208,700,1534,1141,1138,6010,887,163,3309,610,2292,17784,-424
2025-01-19,11,18637,696,1551,1156,1167,6223,1132,163,3385,624,2309,18406,-230
2025-01-19,12,18871,693,1523,1194,1160,6374,1205,161,3483,638,2289,18720,-151
2025-01-19,13,18866,698,1518,1215,1183,6454,1347,162,3468,641,2184,18870,4
2025-01-19,14,18616,695,1519,1225,1197,6437,1348,160,3451,647,2133,18812,196
2025-01-19,15,18743,699,1518,1210,1241,6413,1357,167,3451,647,2196,18899,156
2025-01-19,16,19059,710,1538,1253,1306,6466,1386,155,3516,653,2306,19290,230
2025-01-19,17,19786,732,1597,1324,1420,6622,1468,131,3636,667,2383,19980,194
2025-01-19,18,20828,750,1637,1420,1513,6963,1568,131,3849,683,2324,20839,11
2025-01-19,19,20746,755,1641,1398,1486,7020,1552,127,3855,666,2238,20738,-8
2025-01-19,20,20266,745,1641,1342,1443,6915,1514,122,3773,646,2132,20273,7
2025-01-19,21,19469,742,1637,1297,1381,6799,1469,122,3689,630,1985,19750,280
2025-01-19,22,18720,735,1602,1244,1307,6613,1405,119,3561,605,1881,19072,351
2025-01-19,23,17922,727,1570,1181,1211,6314,1322,115,3447,577,1778,18243,321
2025-01-19,24,17221,715,1572,1125,1148,6019,1247,111,3310,551,1768,17566,345
2025-01-20,1,16883,724,1523,1076,1119,5776,1206,114,3200,552,1763,17054,171
2025-01-20,2,16590,733,1563,1067,1103,5579,1181,114,3137,589,1784,16851,261
2025-01-20,3,16892,734,1569,1063,1107,5504,1176,115,3079,574,1924,16844,-47
2025-01-20,4,16966,728,1562,1073,1145,5462,1185,116,3102,562,1989,16923,-43
2025-01-20,5,17050,726,1565,1084,1162,5488,1206,114,3167,527,2054,17094,45
2025-01-20,6,17715,730,1566,1144,1217,5709,1267,116,3292,555,2156,17753,38
2025-01-20,7,19001,724,1577,1253,1315,6164,1387,118,3559,620,2295,19012,11
2025-01-20,8,20305,730,1608,1349,1386,6700,1507,127,3850,681,2448,20386,80
2025-01-20,9,20459,714,1619,1332,1358,6908,1542,125,3891,683,2463,20635,177
2025-01-20,10,20257,719,1599,1322,1201,7140,1518,115,3922,715,2318,20570,313
2025-01-20,11,20080,698,1584,1286,1104,7213,1484,116,3876,694,2191,20246,166
2025-01-20,12,19547,702,1579,1289,983,7234,1435,117,3864,669,2053,19925,378
2025-01-20,13,19350,708,1590,1281,937,7267,1405,114,3861,664,2010,19836,487
2025-01-20,14,19557,689,1611,1267,959,7239,1392,116,3864,677,2075,19888,331
2025-01-20,15,19650,653,1590,1275,1051,7189,1398,118,3847,659,2129,19910,260
2025-01-20,16,19977,661,1578,1306,1221,7193,1416,120,3855,679,2240,20268,291
2025-01-20,17,20707,677,1639,1376,1403,7311,1508,119,4012,677,2301,21022,315
2025-01-20,18,21579,734,1639,1496,1497,7616,1629,122,4170,668,2300,21870,291
2025-01-20,19,21701,745,1648,1456,1493,7656,1635,121,4129,648,2250,21781,80
2025-01-20,20,21422,747,1643,1446,1492,7621,1629,117,4146,637,2188,21665,242
2025-01-20,21,21164,761,1621,1405,1471,7441,1594,114,4104,659,2080,21250,86
2025-01-20,22,20321,750,1609,1352,1426,7162,1530,113,3939,645,1992,20519,199
2025-01-20,23,19287,741,1561,1257,1344,6799,1431,113,3706,600,1882,19433,147
2025-01-20,24,18398,727,1557,1183,1219,6477,1346,111,3524,564,1857,18565,167
2025-01-21,1,17643,697,1520,1141,1165,6138,1298,109,3390,538,1854,17851,208
2025-01-21,2,17399,681,1509,1090,1170,5934,1274,109,3266,537,1883,17453,54
2025-01-21,3,17408,679,1520,1091,1165,5804,1254,108,3241,530,2001,17393,-15
2025-01-21,4,17484,683,1534,1108,1210,5790,1245,106,3249,538,2083,17546,63
2025-01-21,5,17795,679,1547,1126,1243,5832,1256,106,3241,535,2132,17696,-99
2025-01-21,6,18174,628,1539,1185,1268,6005,1309,107,3377,544,2211,18173,0
2025-01-21,7,19142,621,1595,1297,1349,6349,1407,108,3587,594,2365,19270,129
2025-01-21,8,20579,641,1655,1383,1430,6864,1514,113,3813,649,2527,20587,8
2025-01-21,9,20822,662,1643,1378,1376,7072,1526,120,3920,668,2541,20906,83
2025-01-21,10,20301,660,1604,1318,1173,7035,1466,124,3858,670,2454,20364,63
2025-01-21,11,19958,649,1601,1302,1046,7098,1426,124,3802,665,2350,20063,105
2025-01-21,12,19711,636,1562,1277,998,7109,1401,124,3793,688,2277,19865,154
2025-01-21,13,19547,625,1571,1277,959,7125,1378,125,3861,695,2163,19779,233
2025-01-21,14,19452,624,1559,1229,967,7086,1355,124,3841,679,2086,19550,98
2025-01-21,15,19736,630,1541,1259,1124,7250,1393,127,3878,699,2116,20018,282
2025-01-21,16,20202,634,1533,1302,1260,7240,1439,129,3835,686,2202,20261,59
2025-01-21,17,20785,650,1563,1387,1405,7313,1538,134,3948,677,2311,20926,142
2025-01-21,18,21602,670,1600,1452,1493,7599,1663,132,4148,661,2324,21741,139
2025-01-21,19,21575,678,1628,1417,1475,7655,1675,130,4139,644,2295,21735,160
2025-01-21,20,21407,703,1648,1387,1459,7595,1659,121,4125,628,2227,21551,144
2025-01-21,21,20997,699,1660,1362,1438,7499,1625,116,4129,648,2144,21319,322
2025-01-21,22,20486,663,1647,1310,1404,7272,1569,115,3983,648,2081,20691,205
2025-01-21,23,19470,629,1545,1267,1299,6928,1471,112,3774,574,1988,19587,117
2025-01-21,24,18611,655,1499,1196,1236,6583,1397,110,3575,560,1934,18744,133
2025-01-22,1,18111,685,1521,1148,1186,6271,1336,109,3493,527,1960,18237,126
2025-01-22,2,17909,662,1564,1093,1195,6051,1302,111,3406,517,1980,17880,-29
2025-01-22,3,17706,659,1544,1103,1211,5888,1285,112,3336,517,2069,17723,18
2025-01-22,4,17709,660,1534,1122,1232,5831,1278,112,3327,516,2152,17764,55
2025-01-22,5,17832,643,1518,1143,1236,5856,1293,111,3338,529,2197,17864,32
2025-01-22,6,18287,672,1547,1177,1248,6035,1354,115,3433,551,2269,18401,114
2025-01-22,7,19511,677,1605,1298,1394,6458,1469,117,3672,578,2399,19668,158
2025-01-22,8,20965,671,1663,1397,1494,6982,1574,125,3901,627,2540,20973,8
2025-01-22,9,20944,643,1642,1368,1366,7136,1573,124,3936,645,2510,20943,-1
2025-01-22,10,20305,623,1646,1306,1210,7182,1520,123,3961,677,2453,20701,396
2025-01-22,11,20263,659,1621,1270,1145,7325,1498,123,3980,694,2453,20767,503
2025-01-22,12,20425,656,1575,1253,1093,7446,1466,101,4005,695,2412,20703,278
2025-01-22,13,20242,639,1550,1249,1076,7495,1482,116,3973,692,2360,20632,390
2025-01-22,14,20394,625,1540,1245,1077,7493,1483,119,3997,700,2412,20691,296
2025-01-22,15,20532,623,1581,1268,1158,7465,1505,120,3962,680,2417,20779,247
2025-01-22,16,21125,639,1582,1311,1307,7456,1534,120,3990,686,2433,21058,-67
2025-01-22,17,21183,653,1614,1414,1456,7515,1593,119,4037,682,2463,21547,364
2025-01-22,18,21940,667,1623,1480,1531,7738,1688,122,4165,656,2387,22058,118
2025-01-22,19,21656,673,1629,1444,1502,7711,1686,119,4132,640,2280,21816,159
2025-01-22,20,21407,679,1695,1421,1477,7623,1668,114,4107,655,2209,21648,241
2025-01-22,21,21199,683,1725,1376,1429,7570,1631,117,4051,664,2107,21352,153
2025-01-22,22,20469,701,1702,1333,1360,7296,1543,114,3865,635,2003,20553,84
2025-01-22,23,19457,693,1664,1249,1296,6920,1444,112,3646,587,1872,19483,27
2025-01-22,24,18388,680,1613,1174,1215,6492,1354,109,3488,568,1845,18539,151
2025-01-23,1,17789,629,1589,1118,1188,6142,1289,109,3363,567,1865,17858,69
2025-01-23,2,17393,661,1584,1091,1129,5971,1254,110,3260,586,1853,17498,105
2025-01-23,3,17191,659,1578,1071,1135,5786,1232,107,3211,581,1968,17327,136
2025-01-23,4,17206,657,1564,1061,1165,5697,1216,107,3226,563,2060,17317,111
2025-01-23,5,17423,655,1552,1077,1178,5778,1221,112,3216,572,2109,17471,48
2025-01-23,6,17928,659,1537,1112,1240,5957,1258,116,3315,585,2166,17946,18
2025-01-23,7,18882,672,1564,1208,1338,6310,1361,121,3522,589,2302,18989,107
2025-01-23,8,20156,650,1581,1305,1414,6846,1456,127,3802,642,2465,20289,133
2025-01-23,9,20538,660,1556,1329,1440,7007,1481,127,3825,655,2491,20570,33
2025-01-23,10,20558,675,1527,1307,1412,7103,1470,128,3838,656,2449,20564,6
2025-01-23,11,20403,658,1508,1311,1345,7219,1451,127,3820,649,2401,20489,86
2025-01-23,12,20268,637,1497,1322,1283,7213,1406,122,3811,653,2381,20326,58
2025-01-23,13,20137,604,1516,1312,1246,7211,1371,122,3783,651,2387,20202,65
2025-01-23,14,20080,617,1513,1286,1215,7200,1362,122,3799,659,2435,20208,128
2025-01-23,15,20078,616,1502,1274,1242,7149,1377,122,3768,658,2467,20177,98
2025-01-23,16,20192,648,1506,1297,1284,7154,1403,123,3810,645,2476,20345,152
2025-01-23,17,20548,665,1544,1334,1336,7237,1468,122,3884,643,2505,20740,191
2025-01-23,18,21048,672,1568,1378,1415,7404,1556,125,4021,689,2397,21225,178
2025-01-23,19,21064,665,1591,1336,1406,7405,1568,124,4002,637,2333,21066,2
2025-01-23,20,20650,653,1590,1342,1391,7278,1554,118,4067,652,2212,20857,207
2025-01-23,21,20271,707,1622,1304,1373,7157,1512,109,4025,648,2105,20564,292
2025-01-23,22,19651,705,1628,1254,1328,6956,1445,111,3867,629,2032,19955,303
2025-01-23,23,18807,697,1593,1178,1283,6589,1359,115,3663,587,1917,18983,176
2025-01-23,24,17814,683,1574,1118,1192,6224,1284,114,3453,572,1865,18079,266
2025-01-24,1,17223,669,1561,1072,1142,5920,1232,106,3319,574,1844,17440,217
2025-01-24,2,16798,662,1561,1035,1126,5710,1202,98,3246,580,1842,17064,266
2025-01-24,3,16782,664,1573,1028,1126,5573,1187,101,3199,580,1975,17006,224
2025-01-24,4,16892,666,1582,1014,1140,5523,1187,106,3154,586,2071,17028,136
2025-01-24,5,17140,666,1571,1048,1182,5558,1210,108,3212,604,2138,17297,157
2025-01-24,6,17820,626,1579,1118,1252,5722,1257,111,3325,615,2221,17827,7
2025-01-24,7,18708,609,1621,1220,1314,6164,1366,122,3520,609,2355,18901,193
2025-01-24,8,20280,635,1620,1309,1401,6687,1479,126,3753,625,2516,20150,-129
2025-01-24,9,20608,657,1626,1337,1382,6890,1516,129,3860,609,2567,20574,-34
2025-01-24,10,20595,666,1617,1283,1291,7041,1498,128,3831,638,2569,20560,-35
2025-01-24,11,20346,652,1616,1277,1156,7043,1439,126,3837,629,2504,20279,-66
2025-01-24,12,19584,641,1578,1276,1007,7025,1350,128,3857,624,2416,19900,316
2025-01-24,13,19348,625,1558,1248,917,7020,1295,123,3866,629,2403,19685,337
2025-01-24,14,19416,648,1567,1220,887,7075,1269,123,3836,631,2441,19698,282
2025-01-24,15,19502,646,1553,1209,933,7073,1276,124,3857,636,2445,19754,251
2025-01-24,16,19820,646,1555,1242,1058,7063,1340,125,3846,643,2431,19949,129
2025-01-24,17,20439,667,1610,1322,1276,7137,1450,123,3896,624,2495,20602,162
2025-01-24,18,21117,671,1634,1385,1415,7333,1548,124,4005,673,2394,21182,65
2025-01-24,19,21019,667,1632,1353,1433,7300,1561,125,4017,681,2286,21055,36
2025-01-24,20,20566,660,1623,1328,1441,7240,1542,120,3969,667,2196,20786,219
2025-01-24,21,20248,690,1618,1313,1420,7123,1509,120,3903,655,2086,20437,189
2025-01-24,22,19663,682,1627,1283,1375,6883,1454,115,3832,634,2001,19888,224
2025-01-24,23,18756,674,1612,1232,1312,6539,1367,113,3635,591,1887,18962,207
2025-01-24,24,17851,661,1579,1176,1251,6169,1277,111,3398,567,1821,18010,159
2025-01-25,1,17018,656,1541,1121,1200,5877,1209,110,3270,541,1809,17334,316
2025-01-25,2,16617,654,1533,1101,1177,5664,1163,105,3106,532,1814,16850,232
2025-01-25,3,16439,651,1536,1095,1159,5503,1145,108,3045,523,1918,16681,242
2025-01-25,4,16330,650,1538,1097,1159,5408,1127,107,3018,518,1972,16594,264
2025-01-25,5,16251,646,1511,1084,1155,5383,1120,106,3006,508,1998,16517,265
2025-01-25,6,16398,643,1493,1093,1170,5398,1141,106,3074,548,2043,16710,313
2025-01-25,7,16873,649,1519,1151,1225,5552,1189,104,3124,575,2118,17205,333
2025-01-25,8,17625,654,1548,1202,1284,5808,1259,112,3254,587,2211,17919,294
2025-01-25,9,18292,665,1581,1244,1310,6079,1319,114,3379,612,2248,18550,259
2025-01-25,10,18693,672,1580,1254,1254,6309,1362,116,3489,645,2266,18947,254
2025-01-25,11,18948,681,1590,1253,1178,6551,1387,116,3564,661,2259,19240,293
2025-01-25,12,19008,675,1595,1285,1152,6651,1400,109,3567,677,2150,19262,253
2025-01-25,13,18695,609,1563,1284,1202,6665,1384,109,3530,641,1903,18889,194
2025-01-25,14,18334,593,1557,1293,1208,6626,1367,112,3511,660,1787,18714,380
2025-01-25,15,18347,591,1574,1297,1183,6621,1364,109,3510,657,1793,18698,352
2025-01-25,16,18542,638,1591,1303,1236,6601,1377,111,3508,661,1905,18930,388
2025-01-25,17,19113,679,1612,1327,1268,6651,1416,112,3558,678,2114,19415,302
2025-01-25,18,19600,693,1636,1376,1296,6846,1476,111,3685,683,2105,19906,306
2025-01-25,19,19453,705,1626,1330,1270,6839,1472,108,3715,642,2050,19758,305
2025-01-25,20,18943,678,1614,1290,1227,6714,1425,105,3619,648,1933,19251,308
2025-01-25,21,18395,683,1605,1264,1165,6583,1369,101,3580,635,1813,18797,402
2025-01-25,22,17874,680,1573,1216,1147,6361,1313,101,3450,597,1730,18168,295
2025-01-25,23,17102,676,1514,1158,1091,6076,1237,99,3285,595,1630,17361,259
2025-01-25,24,16478,663,1488,1100,1006,5838,1172,98,3150,572,1597,16684,206
2025-01-26,1,15730,649,1452,1043,980,5513,1105,96,2985,581,1601,16004,274
2025-01-26,2,15347,623,1422,996,1005,5320,1059,93,2880,564,1614,15576,229
2025-01-26,3,15109,575,1407,984,956,5202,1034,91,2819,555,1731,15353,244
2025-01-26,4,15063,565,1412,975,916,5104,1021,93,2775,552,1802,15214,151
2025-01-26,5,15141,558,1421,959,943,5093,1027,94,2789,555,1859,15299,158
2025-01-26,6,15311,555,1440,986,981,5127,1042,96,2796,564,1928,15513,203
2025-01-26,7,15798,567,1457,991,956,5230,1085,98,2954,545,2012,15895,97
2025-01-26,8,16155,617,1470,1047,992,5410,1141,105,3034,566,2096,16477,322
2025-01-26,9,16921,653,1533,1088,975,5628,1198,109,3131,583,2154,17051,129
2025-01-26,10,17169,669,1505,1122,813,5787,1222,110,3164,585,2118,17095,-74
2025-01-26,11,16859,663,1516,1139,752,5907,1230,112,3186,579,1986,17070,210
2025-01-26,12,17007,639,1525,1132,763,6076,1236,115,3180,579,1920,17165,157
2025-01-26,13,17019,642,1515,1138,730,6231,1238,117,3195,574,1838,17219,199
2025-01-26,14,17038,639,1509,1114,721,6268,1236,117,3251,579,1837,17270,232
2025-01-26,15,17150,628,1503,1085,758,6231,1238,113,3245,582,1896,17280,129
2025-01-26,16,17306,632,1527,1107,911,6289,1267,110,3293,589,2024,17749,443
2025-01-26,17,18273,654,1562,1193,1151,6453,1361,112,3442,616,2172,18714,441
2025-01-26,18,19566,641,1595,1294,1310,6786,1459,113,3689,653,2158,19699,132
2025-01-26,19,19837,656,1590,1300,1284,6879,1453,112,3733,657,2119,19782,-56
2025-01-26,20,19303,664,1584,1265,1205,6761,1417,105,3671,638,2035,19345,42
2025-01-26,21,18689,673,1585,1224,1206,6608,1368,103,3603,625,1916,18910,221
2025-01-26,22,18124,653,1553,1194,1175,6442,1290,99,3498,603,1832,18338,214
2025-01-26,23,17177,636,1509,1107,1071,6111,1210,99,3334,575,1720,17373,196
2025-01-26,24,16341,642,1488,1027,1007,5777,1128,95,3208,550,1687,16610,268
2025-01-27,1,15713,628,1470,972,970,5537,1076,94,3073,542,1684,16047,334
2025-01-27,2,15375,625,1463,959,943,5334,1045,93,3011,544,1677,15693,319
2025-01-27,3,15259,624,1456,954,947,5214,1027,93,2969,541,1785,15609,349
2025-01-27,4,15362,624,1445,955,943,5170,1025,93,2953,535,1869,15612,250
2025-01-27,5,15512,609,1434,980,956,5243,1036,95,2964,568,1925,15810,298
2025-01-27,6,16208,617,1439,1026,1000,5420,1089,97,3081,598,2017,16386,178
2025-01-27,7,17365,639,1453,1127,1063,5823,1201,102,3323,606,2153,17490,125
2025-01-27,8,18667,618,1446,1230,1144,6352,1310,108,3547,639,2314,18709,42
2025-01-27,9,18936,628,1489,1246,1065,6575,1318,110,3592,656,2299,18978,42
2025-01-27,10,18531,629,1492,1227,898,6601,1267,108,3513,648,2185,18568,37
2025-01-27,11,18077,597,1483,1227,729,6650,1264,107,3455,617,1979,18108,31
2025-01-27,12,17640,574,1432,1233,695,6690,1262,98,3451,639,1817,17892,252
2025-01-27,13,17724,549,1468,1251,804,6672,1242,104,3476,632,1732,17929,205
2025-01-27,14,17786,546,1473,1218,882,6624,1231,107,3460,619,1735,17894,108
2025-01-27,15,17826,562,1479,1222,955,6585,1229,111,3478,621,1781,18023,197
2025-01-27,16,18371,586,1477,1226,1047,6673,1284,110,3581,624,1949,18557,185
2025-01-27,17,19337,619,1554,1294,1209,6873,1373,114,3704,651,2173,19562,225
2025-01-27,18,20314,631,1592,1353,1311,7184,1470,109,3890,689,2223,20451,137
2025-01-27,19,20384,607,1600,1311,1292,7199,1472,113,3885,690,2187,20356,-29
2025-01-27,20,20070,617,1631,1274,1288,7129,1446,109,3876,679,2091,20141,71
2025-01-27,21,19608,633,1611,1237,1241,6978,1396,107,3788,670,1969,19631,23
2025-01-27,22,18710,626,1585,1187,1192,6719,1301,105,3654,637,1862,18868,158
2025-01-27,23,17690,624,1563,1128,1112,6357,1202,103,3437,604,1735,17866,176
2025-01-27,24,16898,617,1547,1047,1013,5933,1133,104,3309,574,1674,16951,52
2025-01-28,1,16187,606,1519,1006,977,5592,1082,106,3213,533,1653,16285,98
2025-01-28,2,15899,600,1526,984,963,5419,1055,102,3135,517,1645,15946,47
